Fish,Score
Pike,8.2
Perch,6.0
Brown Trout,8.3
Atlantic Salmon,8.9
Roach,6.0
Bream,6.8
Rudd,5.4
Tench,5.7
Eel,8.0
Dace,6.0
Chub,8.2
Gudgeon,6.8
